target,matched,distorted,no_match
ABAHIW,16,0,0
ABAKIZ,17,0,0
ABADOX,19,0,0
ABABIP,22,0,0
GASQOK,23,1,2
ABEKIE,30,1,0
NIWPUE01,20,0,1
ABEKIF,15,1,0
APUFEX,13,0,0
ABEHAU,23,0,1
TITTUO,39,0,1
EGEYOG,26,0,0
ABOBUP,39,0,0
XIDTOW,29,0,0
ACNCOB10,35,7,1
TACXUQ,28,2,0
ACAZFE,19,5,0
NIVHEJ,36,1,0
ADUPAS,30,0,1
DAJLAC,21,2,0
OFOWIS,25,0,1
CATSUL,14,0,3
HESMUQ01,39,1,3
GUDQOL,30,6,0
ABEVAG,15,0,4
AKOQOH,28,1,2
ADARUT,39,2,2
AFECIA,57,0,2
ACOVUL,33,1,0
AFIXEV,52,0,0
ABAYAF,54,3,1
RULJAM,26,3,0
