Target,ccdc_sim_mean,ccdc_sim_std,ccdc_time_mean,ccdc_time_std,rdkit_sim_mean,rdkit_sim_std,rdkit_time_mean,rdkit_time_std,obabel_sim_mean,obabel_sim_std,obabel_time_mean,obabel_time_std
ABAHIW,0.9700000000000001,1.1702778228589004e-16,0.9509999999999998,0.008755950357709109,0.9600000000000002,2.340555645717801e-16,0.063,0.013374935098492587,0.9700000000000001,1.1702778228589004e-16,0.25400000000000006,0.023190036174568118
ABAKIZ,0.9600000000000002,2.340555645717801e-16,0.5399999999999999,0.012472191289246483,0.932,0.03614784456460253,0.022,0.004216370213557838,0.9030000000000001,0.020575065816014614,0.187,0.006749485577105526
ABADOX,0.9200000000000002,1.1702778228589004e-16,0.271,0.0321282153600573,0.9189999999999999,0.02330951164939609,0.009999999999999998,1.828559098217032e-18,0.89,0.0,0.175,0.010801234497346433
ABABIP,0.9399999999999998,1.1702778228589004e-16,0.31399999999999995,0.03098386676965935,0.93,0.0,0.030000000000000006,0.004714045207910317,0.93,0.0,0.27199999999999996,0.006324555320336764
GASQOK,0.86,0.0,1.3770000000000002,0.15958627064311573,0.8389999999999999,0.05820461990063825,0.036,0.00843274042711568,0.798,0.011352924243950945,0.31100000000000005,0.005676462121975473
ABEKIE,0.8800000000000001,1.1702778228589004e-16,0.7849999999999999,0.13794121131039042,0.9030000000000001,0.02406010991015812,0.14700000000000002,0.01946506842754191,0.8710000000000001,0.01663329993316621,0.5119999999999999,0.004216370213557843
NIWPUE01,0.7525,0.08680849201382482,0.4125,0.18956717618225546,,,,,0.66,0.0,0.0,0.0
ABEKIF,0.7944444444444445,0.03876567783204335,0.3877777777777778,0.2559676628881946,0.8419999999999999,0.05006662228138288,0.031,0.011005049346146118,0.85,0.0,0.001,0.0031622776601683794
APUFEX,0.9499999999999998,1.1702778228589004e-16,0.265,0.009718253158075509,0.8200000000000001,0.02108185106778917,0.017,0.006749485577105528,0.9,0.0,0.011,0.0031622776601683794
ABEHAU,0.8387500000000001,0.030443155458751578,0.6375000000000001,0.3368658062620358,0.8130000000000001,0.012516655570345689,0.091,0.011005049346146118,0.804,0.018973665961010255,0.028000000000000004,0.004216370213557839
TITTUO,0.7780000000000001,0.04939635614091389,0.9989999999999999,0.1666299959657791,0.785,0.0406201920231798,0.10900000000000001,0.031073389830457116,0.705,0.05254627590144815,0.019999999999999997,3.657118196434064e-18
EGEYOG,0.66,0.0,0.433,0.11870130580579137,0.707,0.1101564543930334,0.013000000000000001,0.00483045891539648,0.592,0.07020604595680408,0.017,0.00483045891539648
ABOBUP,0.8800000000000001,1.1702778228589004e-16,0.5730000000000001,0.013374935098492564,0.748,0.04661902329879226,0.051000000000000004,0.009944289260117532,0.6719999999999999,0.08547904226573125,0.018,0.0042163702135578395
XIDTOW,0.8400000000000001,1.1702778228589004e-16,1.1949999999999998,0.11384687571958713,0.807,0.02830390628713835,0.207,0.09615381196580589,0.768,0.027406406388125956,0.030000000000000006,7.314236392868128e-18
ACNCOB10,0.87,0.032863353450309996,0.7599999999999999,0.12296340919151517,,,,,,,,
TACXUQ,0.7200000000000001,1.3597399555105182e-16,0.4533333333333333,0.023094010767585018,,,,,0.82,0.03197221015541811,0.009999999999999998,1.828559098217032e-18
ACAZFE,0.75,0.010690449676496985,1.05375,0.9573018258179005,,,,,,,,
NIVHEJ,0.7883333333333332,0.08158839786799757,0.8099999999999999,0.14628738838327798,,,,,0.6899999999999998,1.1702778228589004e-16,0.047,0.0067494855771055295
ADUPAS,0.82,0.0,0.8059999999999998,0.016733200530681478,,,,,0.752,0.03425395354310704,0.029000000000000005,0.005676462121975466
DAJLAC,0.8444444444444446,0.051505123801208134,1.4577777777777776,1.5994825552172942,,,,,,,,
OFOWIS,0.858,0.03190262963734776,1.1469999999999998,0.051650535116083494,0.8390000000000001,0.05915140648276158,0.053000000000000005,0.009486832980505138,0.687,0.0473872931866292,0.05900000000000001,0.0031622776601683777
CATSUL,0.7925,0.02815771906346716,0.7,0.009258200997725523,,,,,0.7820000000000001,0.02043961295567454,0.023,0.004830458915396479
HESMUQ01,0.833,0.03093002855909876,0.9129999999999999,0.04989989979949859,,,,,0.7300000000000001,1.1702778228589004e-16,0.030000000000000006,0.004714045207910317
GUDQOL,0.866,0.032041639575194444,0.969,0.1036500522591925,,,,,0.63,0.014142135623730965,0.121,0.00567646212197547
ABEVAG,0.82,0.049749371855330994,2.1844444444444444,3.25152699170371,,,,,,,,
AKOQOH,0.835,0.06587024281789836,0.9380000000000001,0.8612239352611297,,,,,,,,
ADARUT,0.844,0.04273952113286561,1.6019999999999999,0.6927048433496045,,,,,0.649,0.02183269719175044,0.32199999999999995,0.004216370213557843
AFECIA,0.8277777777777778,0.034920544732928244,2.645555555555555,1.5460927455291218,0.8459999999999999,0.018378731669453644,0.30500000000000005,0.08797095480264432,0.722,0.037653389990514506,0.06000000000000001,1.4628472785736255e-17
ACOVUL,0.877,0.02907843798341918,1.052,1.2117462147202644,,,,,0.6759999999999999,0.022211108331943563,0.11200000000000002,0.004216370213557837
AFIXEV,0.8019999999999999,0.05370702416299421,1.514,0.10362324921453572,,,,,0.7929999999999999,0.02213594362117864,0.05700000000000001,0.009486832980505136
ABAYAF,0.8619999999999999,0.037357135269658434,1.7400000000000002,1.1593293080244476,0.8960000000000001,0.032041639575194465,0.354,0.08682037651253174,,,,
RULJAM,0.8200000000000001,0.05773502691896259,0.40714285714285714,0.054379618030497956,0.867,0.025841396591085766,0.059,0.009944289260117532,,,,
