Target,ccdc_sim,ccdc_time,ccdc_ok,rdkit_sim,rdkit_time,rdkit_ok,obabel_sim,obabel_time,obabel_ok
ABAHIW,0.97,0.95,✓,0.96,0.08,✓,0.97,0.28,✓
ABAKIZ,0.96,0.56,✓,0.96,0.02,✓,0.88,0.18,✓
ABADOX,0.92,0.26,✓,0.95,0.01,✓,0.89,0.18,✓
ABABIP,0.94,0.30,✓,0.93,0.04,✓,0.93,0.26,✓
GASQOK,0.86,1.83,✓,0.84,0.05,✓,0.81,0.30,✓
ABEKIE,0.88,0.80,✓,0.90,0.14,✓,0.86,0.51,✓
NIWPUE01,0.73,0.30,✓,N.A.,N.A.,–,0.66,0.00,✓
ABEKIF,0.86,0.29,✓,0.85,0.04,✓,0.85,0.00,✓
APUFEX,0.95,0.27,✓,0.82,0.01,✓,0.90,0.01,✓
ABEHAU,N.A.,N.A.,–,0.83,0.10,✓,0.79,0.03,✓
TITTUO,0.71,1.19,✓,0.76,0.15,✓,0.73,0.02,✓
EGEYOG,0.66,0.40,✓,0.58,0.01,✓,0.56,0.02,✓
ABOBUP,0.88,0.55,✓,0.80,0.04,✓,0.57,0.02,✓
XIDTOW,0.84,1.15,✓,0.82,0.13,✓,0.78,0.03,✓
ACNCOB10,0.91,0.69,✓,N.A.,N.A.,–,N.A.,N.A.,–
TACXUQ,0.72,0.48,✓,N.A.,N.A.,–,0.81,0.01,✓
ACAZFE,N.A.,N.A.,–,N.A.,N.A.,–,N.A.,N.A.,–
NIVHEJ,N.A.,N.A.,–,N.A.,N.A.,–,0.69,0.05,✓
ADUPAS,N.A.,N.A.,–,N.A.,N.A.,–,0.79,0.04,✓
DAJLAC,0.87,3.12,✓,N.A.,N.A.,–,N.A.,N.A.,–
OFOWIS,0.91,1.08,✓,0.88,0.07,✓,0.77,0.06,✓
CATSUL,0.76,0.69,✓,N.A.,N.A.,–,0.79,0.02,✓
HESMUQ01,0.79,0.85,✓,N.A.,N.A.,–,0.73,0.03,✓
GUDQOL,0.87,1.00,✓,N.A.,N.A.,–,0.62,0.12,✓
ABEVAG,0.86,4.33,✓,N.A.,N.A.,–,N.A.,N.A.,–
AKOQOH,0.87,0.49,✓,N.A.,N.A.,–,N.A.,N.A.,–
ADARUT,0.87,1.92,✓,N.A.,N.A.,–,0.67,0.32,✓
AFECIA,0.80,1.89,✓,0.83,0.25,✓,0.69,0.06,✓
ACOVUL,0.87,0.62,✓,N.A.,N.A.,–,0.67,0.11,✓
AFIXEV,0.78,1.59,✓,N.A.,N.A.,–,0.76,0.06,✓
ABAYAF,0.83,1.14,✓,0.88,0.37,✓,N.A.,N.A.,–
RULJAM,0.80,0.49,✓,0.85,0.06,✓,N.A.,N.A.,–
