run,ccdc_success_count,ccdc_success_rate,rdkit_success_count,rdkit_success_rate,obabel_success_count,obabel_success_rate
run_1,28,0.875,17,0.53125,25,0.78125
run_2,28,0.875,17,0.53125,25,0.78125
run_3,26,0.8125,17,0.53125,25,0.78125
run_4,27,0.84375,17,0.53125,25,0.78125
run_5,30,0.9375,17,0.53125,25,0.78125
run_6,28,0.875,17,0.53125,25,0.78125
run_7,31,0.96875,17,0.53125,25,0.78125
run_8,30,0.9375,17,0.53125,25,0.78125
run_9,27,0.84375,17,0.53125,25,0.78125
run_10,30,0.9375,17,0.53125,25,0.78125
