Target,ccdc,rdkit,obabel
ABAHIW,1.0,1.0,1.0
ABAKIZ,1.0,1.0,1.0
ABADOX,1.0,1.0,1.0
ABABIP,1.0,1.0,1.0
GASQOK,1.0,1.0,1.0
ABEKIE,1.0,1.0,1.0
NIWPUE01,0.8,0.0,1.0
ABEKIF,0.9,1.0,1.0
APUFEX,1.0,1.0,1.0
ABEHAU,0.8,1.0,1.0
TITTUO,1.0,1.0,1.0
EGEYOG,1.0,1.0,1.0
ABOBUP,1.0,1.0,1.0
XIDTOW,1.0,1.0,1.0
ACNCOB10,0.6,0.0,0.0
TACXUQ,0.3,0.0,1.0
ACAZFE,0.8,0.0,0.0
NIVHEJ,0.6,0.0,1.0
ADUPAS,0.5,0.0,1.0
DAJLAC,0.9,0.0,0.0
OFOWIS,1.0,1.0,1.0
CATSUL,0.8,0.0,1.0
HESMUQ01,1.0,0.0,1.0
GUDQOL,1.0,0.0,1.0
ABEVAG,0.9,0.0,0.0
AKOQOH,1.0,0.0,0.0
ADARUT,1.0,0.0,1.0
AFECIA,0.9,1.0,1.0
ACOVUL,1.0,0.0,1.0
AFIXEV,1.0,0.0,1.0
ABAYAF,1.0,1.0,0.0
RULJAM,0.7,1.0,0.0
