,Orig_Atoms,SMILES_CSD,SMILES_RDKit_explicit,CCDC_from_CSD,RDKit_from_CSD,OBabel_from_CSD,CCDC_from_Explicit,RDKit_from_Explicit,OBabel_from_Explicit
1_ABAHIW,26,15,26,26,26,26,26,26,26
2_ABAKIZ,28,17,28,28,28,28,28,28,28
3_ABADOX,23,14,23,23,23,23,23,23,23
4_ABABIP,32,19,32,32,32,32,32,32,32
5_GASQOK,35,24,35,35,35,35,35,35,35
6_ABEKIE,57,32,57,57,57,57,57,57,57
7_NIWPUE01,53,20,53,N.A.,N.A.,53,55,N.A.,N.A.
8_ABEKIF,42,15,42,42,42,42,44,44,N.A.
9_APUFEX,29,13,29,29,29,29,29,29,29
10_ABEHAU,62,23,62,62,62,62,64,64,N.A.
11_TITTUO,79,38,79,80,79,80,N.A.,80,N.A.
12_EGEYOG,43,22,43,43,43,43,N.A.,43,43
13_ABOBUP,53,31,53,53,53,53,55,55,55
14_XIDTOW,47,27,47,47,47,49,N.A.,47,47
15_ACNCOB10,70,30,70,70,N.A.,N.A.,73,N.A.,N.A.
16_TACXUQ,35,20,35,N.A.,N.A.,32,N.A.,N.A.,36
17_ACAZFE,26,17,26,22,N.A.,N.A.,26,N.A.,N.A.
18_NIVHEJ,73,32,73,73,N.A.,73,75,N.A.,N.A.
19_ADUPAS,47,32,47,N.A.,N.A.,44,49,N.A.,49
20_DAJLAC,45,21,45,39,N.A.,N.A.,45,N.A.,45
21_OFOWIS,48,24,48,46,46,46,48,N.A.,48
22_CATSUL,23,16,23,19,N.A.,19,24,N.A.,24
23_HESMUQ01,73,37,73,73,N.A.,73,76,N.A.,76
24_GUDQOL,75,35,75,75,N.A.,73,N.A.,N.A.,75
25_ABEVAG,34,19,34,34,N.A.,N.A.,34,N.A.,N.A.
26_AKOQOH,53,29,53,53,N.A.,N.A.,53,N.A.,53
27_ADARUT,87,41,87,87,N.A.,87,87,N.A.,87
28_AFECIA,114,54,114,114,114,114,114,114,114
29_ACOVUL,68,33,68,68,N.A.,71,68,N.A.,68
30_AFIXEV,88,53,88,80,N.A.,80,90,N.A.,N.A.
31_ABAYAF,109,57,109,109,109,N.A.,111,N.A.,N.A.
32_RULJAM,53,31,53,N.A.,53,N.A.,57,N.A.,N.A.
