run,CSD_ccdc_count,CSD_ccdc_rate,CSD_rdkit_count,CSD_rdkit_rate,CSD_obabel_count,CSD_obabel_rate,Explicit_ccdc_count,Explicit_ccdc_rate,Explicit_rdkit_count,Explicit_rdkit_rate,Explicit_obabel_count,Explicit_obabel_rate
run_1,28,0.875,17,0.53125,25,0.78125,29,0.90625,14,0.4375,21,0.65625
run_2,31,0.96875,17,0.53125,25,0.78125,23,0.71875,14,0.4375,21,0.65625
run_3,28,0.875,17,0.53125,25,0.78125,24,0.75,14,0.4375,21,0.65625
run_4,28,0.875,17,0.53125,25,0.78125,27,0.84375,14,0.4375,21,0.65625
run_5,28,0.875,17,0.53125,25,0.78125,27,0.84375,14,0.4375,21,0.65625
run_6,27,0.84375,17,0.53125,25,0.78125,27,0.84375,14,0.4375,21,0.65625
run_7,29,0.90625,17,0.53125,25,0.78125,26,0.8125,14,0.4375,21,0.65625
run_8,26,0.8125,17,0.53125,25,0.78125,24,0.75,14,0.4375,21,0.65625
run_9,30,0.9375,17,0.53125,25,0.78125,24,0.75,14,0.4375,21,0.65625
run_10,28,0.875,17,0.53125,25,0.78125,27,0.84375,14,0.4375,21,0.65625
run_11,30,0.9375,17,0.53125,25,0.78125,22,0.6875,14,0.4375,21,0.65625
run_12,26,0.8125,17,0.53125,25,0.78125,23,0.71875,14,0.4375,21,0.65625
run_13,25,0.78125,17,0.53125,25,0.78125,26,0.8125,14,0.4375,21,0.65625
run_14,29,0.90625,17,0.53125,25,0.78125,27,0.84375,14,0.4375,21,0.65625
run_15,28,0.875,17,0.53125,25,0.78125,27,0.84375,14,0.4375,21,0.65625
run_16,29,0.90625,17,0.53125,25,0.78125,25,0.78125,14,0.4375,21,0.65625
run_17,28,0.875,17,0.53125,25,0.78125,26,0.8125,14,0.4375,21,0.65625
run_18,27,0.84375,17,0.53125,25,0.78125,24,0.75,14,0.4375,21,0.65625
run_19,29,0.90625,17,0.53125,25,0.78125,23,0.71875,14,0.4375,21,0.65625
run_20,24,0.75,17,0.53125,25,0.78125,24,0.75,14,0.4375,21,0.65625
run_21,26,0.8125,17,0.53125,25,0.78125,27,0.84375,14,0.4375,21,0.65625
run_22,28,0.875,17,0.53125,25,0.78125,26,0.8125,14,0.4375,21,0.65625
run_23,25,0.78125,17,0.53125,25,0.78125,25,0.78125,14,0.4375,21,0.65625
run_24,29,0.90625,17,0.53125,25,0.78125,27,0.84375,14,0.4375,21,0.65625
run_25,28,0.875,17,0.53125,25,0.78125,25,0.78125,14,0.4375,21,0.65625
run_26,29,0.90625,17,0.53125,25,0.78125,27,0.84375,14,0.4375,21,0.65625
run_27,28,0.875,17,0.53125,25,0.78125,23,0.71875,14,0.4375,21,0.65625
run_28,28,0.875,17,0.53125,25,0.78125,28,0.875,14,0.4375,21,0.65625
run_29,27,0.84375,17,0.53125,25,0.78125,27,0.84375,14,0.4375,21,0.65625
run_30,27,0.84375,17,0.53125,25,0.78125,23,0.71875,14,0.4375,21,0.65625
run_31,25,0.78125,17,0.53125,25,0.78125,26,0.8125,14,0.4375,21,0.65625
run_32,25,0.78125,17,0.53125,25,0.78125,25,0.78125,14,0.4375,21,0.65625
run_33,27,0.84375,17,0.53125,25,0.78125,24,0.75,14,0.4375,21,0.65625
run_34,28,0.875,17,0.53125,25,0.78125,25,0.78125,14,0.4375,21,0.65625
