Target,CSD_ccdc,CSD_rdkit,CSD_obabel,Explicit_ccdc,Explicit_rdkit,Explicit_obabel
1_ABAHIW,1.0,1.0,1.0,1.0,1.0,1.0
2_ABAKIZ,1.0,1.0,1.0,1.0,1.0,1.0
3_ABADOX,1.0,1.0,1.0,1.0,1.0,1.0
4_ABABIP,1.0,1.0,1.0,1.0,1.0,1.0
5_GASQOK,1.0,1.0,1.0,1.0,1.0,1.0
6_ABEKIE,1.0,1.0,1.0,1.0,1.0,1.0
7_NIWPUE01,0.79,0.0,1.0,0.98,0.0,0.0
8_ABEKIF,0.84,1.0,1.0,0.97,1.0,0.0
9_APUFEX,1.0,1.0,1.0,1.0,1.0,1.0
10_ABEHAU,0.83,1.0,1.0,0.92,1.0,0.0
11_TITTUO,0.95,1.0,1.0,0.28,1.0,0.0
12_EGEYOG,1.0,1.0,1.0,0.0,1.0,1.0
13_ABOBUP,1.0,1.0,1.0,1.0,1.0,1.0
14_XIDTOW,1.0,1.0,1.0,0.0,1.0,1.0
15_ACNCOB10,0.69,0.0,0.0,0.85,0.0,0.0
16_TACXUQ,0.4,0.0,1.0,0.24,0.0,1.0
17_ACAZFE,0.56,0.0,0.0,0.82,0.0,0.0
18_NIVHEJ,0.58,0.0,1.0,0.86,0.0,0.0
19_ADUPAS,0.45,0.0,1.0,0.69,0.0,1.0
20_DAJLAC,0.89,0.0,0.0,0.91,0.0,1.0
21_OFOWIS,1.0,1.0,1.0,0.72,0.0,1.0
22_CATSUL,0.91,0.0,1.0,0.96,0.0,1.0
23_HESMUQ01,1.0,0.0,1.0,1.0,0.0,1.0
24_GUDQOL,1.0,0.0,1.0,0.72,0.0,1.0
25_ABEVAG,0.86,0.0,0.0,0.85,0.0,0.0
26_AKOQOH,0.93,0.0,0.0,0.92,0.0,1.0
27_ADARUT,0.97,0.0,1.0,0.82,0.0,1.0
28_AFECIA,0.89,1.0,1.0,0.87,1.0,1.0
29_ACOVUL,1.0,0.0,1.0,0.78,0.0,1.0
30_AFIXEV,0.99,0.0,1.0,0.68,0.0,0.0
31_ABAYAF,0.75,1.0,0.0,0.83,0.0,0.0
32_RULJAM,0.84,1.0,0.0,0.84,0.0,0.0
